"Make","Model","Vehicle Class","Engine Size(L)","Cylinders","Transmission","Fuel Type","Fuel Consumption City (L/100 km)","Fuel Consumption Hwy (L/100 km)","Fuel Consumption Comb (L/100 km)","Fuel Consumption Comb (mpg)","CO2 Emissions(g/km)","Date"
"BMW","X1 xDRIVE28i","SUV - SMALL","2","4","AS8","Z","10.6","7.2","9.1","31","209","7/23/2014"
"BMW","X1 xDRIVE35i","SUV - SMALL","3","6","AS8","Z","13.2","8.9","11.2","25","258","5/21/2018"
"BMW","X3 xDRIVE28d","SUV - SMALL","2","4","AS8","D","8.6","6.9","7.9","36","213","4/12/2018"
"BMW","X3 xDRIVE28i","SUV - SMALL","2","4","AS8","Z","11.1","8.4","9.9","29","228","2/11/2020"
"BMW","X3 xDRIVE35i","SUV - SMALL","3","6","AS8","Z","12.7","8.8","10.9","26","251","5/18/2018"
"BMW","X4 xDRIVE28i","SUV - SMALL","2","4","AS8","Z","11.7","8.4","10.2","28","235","12/27/2018"
"BMW","X4 xDRIVE35i","SUV - SMALL","3","6","AS8","Z","12.7","8.8","10.9","26","251","4/5/2013"
"BMW","X5 M","SUV - STANDARD","4.4","8","AS8","Z","16.6","12.1","14.6","19","336","9/24/2016"
"BMW","X5 xDRIVE35d","SUV - STANDARD","3","6","AS8","D","9.9","7.2","8.7","32","235","8/10/2018"
"BMW","X5 xDRIVE35i","SUV - STANDARD","3","6","AS8","Z","13","8.9","11.1","25","255","1/23/2013"
"BMW","X5 xDRIVE50i","SUV - STANDARD","4.4","8","AS8","Z","16.1","10.9","13.8","20","317","5/6/2014"
"BMW","X6 M","SUV - STANDARD","4.4","8","AS8","Z","16.6","12.1","14.6","19","336","3/3/2020"
"BMW","X6 xDRIVE35i","SUV - STANDARD","3","6","AS8","Z","13","8.9","11.1","25","255","10/1/2016"
"BMW","X6 xDRIVE50i","SUV - STANDARD","4.4","8","AS8","Z","16.1","10.9","13.8","20","317","3/19/2016"
"BMW","Z4 sDRIVE28i","TWO-SEATER","2","4","AS8","Z","10.7","7.1","9.1","31","209","3/26/2021"
"BMW","Z4 sDRIVE28i","TWO-SEATER","2","4","M6","Z","10.7","6.9","9","31","207","9/6/2011"
"BMW","Z4 sDRIVE35i","TWO-SEATER","3","6","AM7","Z","13.7","10","12.1","23","278","1/4/2019"
"BMW","Z4 sDRIVE35i","TWO-SEATER","3","6","M6","Z","12.7","9","11","26","253","11/4/2019"
"BMW","Z4 sDRIVE35is","TWO-SEATER","3","6","AM7","Z","13.7","10","12.1","23","278","9/18/2013"
"BUICK","ENCLAVE","SUV - STANDARD","3.6","6","A6","X","14.2","9.9","12.3","23","283","6/21/2016"
"BUICK","ENCLAVE AWD","SUV - STANDARD","3.6","6","A6","X","14.6","10.2","12.6","22","290","5/12/2011"
"BUICK","ENCORE","SUV - SMALL","1.4","4","AS6","X","9.5","7.2","8.5","33","196","11/5/2018"
"BUICK","ENCORE AWD","SUV - SMALL","1.4","4","AS6","X","10.2","8","9.2","31","212","3/13/2021"
"BUICK","LACROSSE","MID-SIZE","3.6","6","AS6","X","13.7","8.6","11.4","25","262","5/18/2019"
"BUICK","LACROSSE","MID-SIZE","3.6","6","AS6","E","18.7","12.4","15.8","18","253","12/9/2014"
"BUICK","LACROSSE AWD","MID-SIZE","3.6","6","AS6","X","13.9","9.1","11.7","24","269","7/11/2014"
"BUICK","LACROSSE AWD","MID-SIZE","3.6","6","AS6","E","18.6","12.6","15.9","18","254","9/27/2017"
"BUICK","LACROSSE eASSIST","MID-SIZE","2.4","4","AS6","X","9.6","6.5","8.2","34","189","6/23/2017"
"BUICK","REGAL","MID-SIZE","2","4","AS6","Z","11.4","7.9","9.8","29","225","8/29/2015"
"BUICK","REGAL","MID-SIZE","2","4","M6","Z","11.6","7.6","9.8","29","225","5/23/2017"
"BUICK","REGAL AWD","MID-SIZE","2","4","AS6","Z","12.4","8.7","10.7","26","246","4/13/2013"
"BUICK","REGAL eASSIST","MID-SIZE","2.4","4","AS6","X","9.6","6.5","8.2","34","189","7/5/2011"
"BUICK","VERANO","COMPACT","2","4","AS6","Z","11.4","7.9","9.8","29","225","10/21/2011"
"BUICK","VERANO","COMPACT","2","4","M6","Z","11.6","7.6","9.8","29","225","10/11/2020"
"BUICK","VERANO","COMPACT","2.4","4","AS6","X","11.1","7.4","9.4","30","216","3/16/2017"
"CADILLAC","ATS","COMPACT","2","4","AS6","Z","11.1","7.9","9.7","29","223","2/3/2018"
"CADILLAC","ATS","COMPACT","2","4","M6","Z","12.2","7.9","10.3","27","237","3/7/2015"
"CADILLAC","ATS","COMPACT","2.5","4","AS6","X","11.1","7.2","9.3","30","214","12/10/2011"
"CADILLAC","ATS","COMPACT","3.6","6","AS6","X","12.8","8.4","10.8","26","248","3/5/2017"
"CADILLAC","ATS AWD","COMPACT","2","4","AS6","Z","11.5","8.5","10.2","28","235","8/15/2020"
"CADILLAC","ATS AWD","COMPACT","3.6","6","AS6","X","12.8","8.9","11","26","253","10/5/2013"
"CADILLAC","CTS","MID-SIZE","2","4","AS6","Z","11.5","7.9","9.9","29","228","4/30/2017"
"CADILLAC","CTS","MID-SIZE","3.6","6","AS8","X","12.8","8.2","10.7","26","246","5/5/2014"
"CADILLAC","CTS AWD","MID-SIZE","2","4","AS6","Z","12.3","8.5","10.6","27","244","6/22/2012"
"CADILLAC","CTS AWD","MID-SIZE","3.6","6","AS6","X","12.8","8.9","11","26","253","10/17/2011"
"CADILLAC","CTS Vsport","MID-SIZE","3.6","6","AS8","Z","15.1","9.9","12.7","22","292","9/11/2019"
"CADILLAC","ESCALADE 4WD","SUV - STANDARD","6.2","8","A6","Z","16.2","11.4","14","20","322","7/20/2016"
"CADILLAC","ESCALADE 4WD","SUV - STANDARD","6.2","8","A8","Z","15.9","11.1","13.8","20","317","8/20/2014"
"CADILLAC","ESCALADE ESV 4WD","SUV - STANDARD","6.2","8","A6","Z","16.8","11.7","14.5","19","334","8/20/2012"
"CADILLAC","ESCALADE ESV 4WD","SUV - STANDARD","6.2","8","A8","Z","16.4","11.7","14.3","20","329","3/15/2020"
"CADILLAC","SRX","SUV - STANDARD","3.6","6","AS6","X","14.2","9.8","12.3","23","283","5/3/2021"
"CADILLAC","SRX AWD","SUV - STANDARD","3.6","6","AS6","X","14.8","10.4","12.8","22","294","2/21/2013"
"CADILLAC","XTS","FULL-SIZE","3.6","6","AS6","X","13.6","8.6","11.3","25","260","6/29/2016"
"CADILLAC","XTS AWD","FULL-SIZE","3.6","6","AS6","X","13.7","8.9","11.6","24","267","12/8/2017"
"CADILLAC","XTS Vsport AWD","FULL-SIZE","3.6","6","AS6","Z","14.8","9.9","12.6","22","290","10/12/2017"
"CHEVROLET","CAMARO","COMPACT","3.6","6","AS6","X","13.3","8.8","11.3","25","260","11/19/2018"
"CHEVROLET","CAMARO","COMPACT","3.6","6","M6","X","14","8.4","11.5","25","265","5/21/2014"
"CHEVROLET","CAMARO","COMPACT","6.2","8","AS6","Z","15.3","9.8","12.8","22","294","10/21/2016"
"CHEVROLET","CAMARO","COMPACT","6.2","8","M6","Z","15","9.9","12.7","22","292","12/29/2019"
"CHEVROLET","CAMARO 2LS","COMPACT","3.6","6","AS6","X","12.6","7.9","10.5","27","242","7/9/2018"
"CHEVROLET","CAMARO Z/28","COMPACT","6.2","8","M6","Z","18.1","12.3","15.5","18","357","4/21/2021"
"CHEVROLET","CAMARO ZL1","COMPACT","6.2","8","AS6","Z","19.9","13","16.8","17","386","11/12/2013"
"CHEVROLET","CAMARO ZL1","COMPACT","6.2","8","M6","Z","16.6","12.4","14.7","19","338","8/21/2013"
"CHEVROLET","CITY EXPRESS","SPECIAL PURPOSE VEHICLE","2","4","AV","X","9.7","9","9.4","30","216","6/21/2018"
"CHEVROLET","COLORADO","PICKUP TRUCK - SMALL","2.5","4","A6","X","11.9","8.8","10.5","27","242","4/24/2020"
"CHEVROLET","COLORADO","PICKUP TRUCK - SMALL","2.5","4","M6","X","12.2","9.1","10.8","26","248","5/9/2012"
"CHEVROLET","COLORADO","PICKUP TRUCK - SMALL","3.6","6","A6","X","13","9.2","11.3","25","260","4/24/2019"
"CHEVROLET","COLORADO 4WD","PICKUP TRUCK - SMALL","2.5","4","A6","X","12.7","9.5","11.3","25","260","10/14/2015"
"CHEVROLET","COLORADO 4WD","PICKUP TRUCK - SMALL","3.6","6","A6","X","13.5","9.8","11.8","24","271","10/25/2011"
"CHEVROLET","CORVETTE","TWO-SEATER","6.2","8","AS8","Z","14.6","8.1","11.7","24","269","3/8/2016"
"CHEVROLET","CORVETTE","TWO-SEATER","6.2","8","M7","Z","13.7","8.2","11.2","25","258","3/29/2016"
"CHEVROLET","CORVETTE Z06","TWO-SEATER","6.2","8","AS8","Z","17.7","10.2","14.3","20","329","5/7/2014"
"CHEVROLET","CORVETTE Z06","TWO-SEATER","6.2","8","M7","Z","15.7","10.6","13.4","21","308","7/6/2011"
"CHEVROLET","CRUZE","MID-SIZE","1.4","4","AS6","X","9.1","6.3","7.8","36","179","7/27/2018"
"CHEVROLET","CRUZE","MID-SIZE","1.4","4","M6","X","9","6.2","7.8","36","179","4/13/2021"
"CHEVROLET","CRUZE","MID-SIZE","1.8","4","AS6","X","10.5","6.8","8.8","32","202","1/27/2016"
"CHEVROLET","CRUZE","MID-SIZE","1.8","4","M6","X","9.4","6.6","8.1","35","186","8/15/2011"
"CHEVROLET","CRUZE DIESEL","MID-SIZE","2","4","AS6","D","8.7","5.1","7.1","40","192","3/10/2015"
"CHEVROLET","CRUZE ECO","MID-SIZE","1.4","4","A6","X","9","6.1","7.7","37","177","8/11/2011"
"CHEVROLET","CRUZE ECO","MID-SIZE","1.4","4","M6","X","8.4","5.6","7.1","40","163","1/17/2016"
"CHEVROLET","EQUINOX","SUV - SMALL","2.4","4","A6","X","10.5","7.3","9.1","31","209","9/24/2011"
"CHEVROLET","EQUINOX FFV","SUV - SMALL","2.4","4","A6","X","10.5","7.3","9.1","31","209","3/19/2018"
"CHEVROLET","EQUINOX FFV","SUV - SMALL","2.4","4","A6","E","15.6","10.8","13.4","21","214","11/24/2017"
"CHEVROLET","EQUINOX","SUV - SMALL","3.6","6","A6","X","14.2","9.5","12.1","23","278","5/13/2019"
"CHEVROLET","EQUINOX AWD","SUV - SMALL","2.4","4","A6","X","11.5","8.2","10","28","230","1/24/2021"
"CHEVROLET","EQUINOX AWD FFV","SUV - SMALL","2.4","4","A6","X","11.5","8.2","10","28","230","4/1/2017"
"CHEVROLET","EQUINOX AWD FFV","SUV - SMALL","2.4","4","A6","E","16.3","11.6","14.2","20","227","5/24/2017"
"CHEVROLET","EQUINOX AWD","SUV - SMALL","3.6","6","A6","X","14.8","9.9","12.6","22","290","4/12/2017"
"CHEVROLET","EXPRESS 2500 PASSENGER","VAN - PASSENGER","4.8","8","A6","X","21","14.2","18","16","414","11/13/2019"
"CHEVROLET","EXPRESS 2500 PASSENGER","VAN - PASSENGER","6","8","A6","X","22","14.9","18.8","15","432","9/18/2014"
"CHEVROLET","EXPRESS 2500 PASSENGER FFV","VAN - PASSENGER","6","8","A6","X","22","14.9","18.8","15","432","12/19/2012"
"CHEVROLET","EXPRESS 2500 PASSENGER FFV","VAN - PASSENGER","6","8","A6","E","30.3","20.5","25.9","11","414","8/20/2019"
"CHEVROLET","EXPRESS 3500 PASSENGER","VAN - PASSENGER","4.8","8","A6","X","21.3","14.3","18.1","16","416","4/16/2020"
"CHEVROLET","EXPRESS 3500 PASSENGER","VAN - PASSENGER","6","8","A6","X","22.2","15.1","19","15","437","8/27/2018"
"CHEVROLET","EXPRESS 3500 PASSENGER FFV","VAN - PASSENGER","6","8","A6","X","22.2","15.1","19","15","437","3/11/2014"
"CHEVROLET","EXPRESS 3500 PASSENGER FFV","VAN - PASSENGER","6","8","A6","E","30.6","20.6","26.1","11","418","5/14/2012"
"CHEVROLET","IMPALA","FULL-SIZE","2.5","4","AS6","X","10.6","7.5","9.2","31","212","7/18/2014"
"CHEVROLET","IMPALA","FULL-SIZE","3.6","6","AS6","X","12.5","8.2","10.6","27","244","6/13/2017"
"CHEVROLET","IMPALA","FULL-SIZE","3.6","6","AS6","E","17","11.5","14.5","19","232","7/11/2017"
"CHEVROLET","MALIBU","MID-SIZE","2","4","AS6","Z","11.4","7.9","9.8","29","225","7/12/2014"
"CHEVROLET","MALIBU","MID-SIZE","2.5","4","AS6","X","9.3","6.4","8","35","184","2/12/2011"
"CHEVROLET","SILVERADO","PICKUP TRUCK - STANDARD","4.3","6","A6","X","13.4","9.9","11.9","24","274","3/11/2015"
"CHEVROLET","SILVERADO","PICKUP TRUCK - STANDARD","4.3","6","A6","E","19.3","14.3","17.1","17","274","2/7/2013"
"CHEVROLET","SILVERADO","PICKUP TRUCK - STANDARD","5.3","8","A6","X","14.6","10.3","12.7","22","292","7/7/2011"
"CHEVROLET","SILVERADO","PICKUP TRUCK - STANDARD","5.3","8","A6","E","19.9","13.8","17.2","16","275","3/21/2016"
"CHEVROLET","SILVERADO","PICKUP TRUCK - STANDARD","6.2","8","A8","Z","16.1","11.4","14","20","322","11/10/2013"
"CHEVROLET","SILVERADO 4WD","PICKUP TRUCK - STANDARD","4.3","6","A6","X","14.1","10.6","12.5","23","288","1/28/2020"
"CHEVROLET","SILVERADO 4WD","PICKUP TRUCK - STANDARD","4.3","6","A6","E","20.3","15.2","18","16","288","9/22/2019"
"CHEVROLET","SILVERADO 4WD","PICKUP TRUCK - STANDARD","5.3","8","A6","X","14.9","10.7","13","22","299","12/7/2013"
"CHEVROLET","SILVERADO 4WD","PICKUP TRUCK - STANDARD","5.3","8","A6","E","20.2","14.3","17.5","16","280","12/30/2011"
"CHEVROLET","SILVERADO 4WD","PICKUP TRUCK - STANDARD","6.2","8","A8","Z","16.3","11.6","14.2","20","327","4/5/2013"
"CHEVROLET","SONIC","COMPACT","1.4","4","AS6","X","9","6.8","8","35","184","3/12/2017"
"CHEVROLET","SONIC","COMPACT","1.4","4","M6","X","8.5","6.2","7.5","38","173","10/12/2016"
"CHEVROLET","SONIC","COMPACT","1.8","4","AS6","X","9.6","6.7","8.3","34","191","4/11/2013"
"CHEVROLET","SONIC","COMPACT","1.8","4","M5","X","9","6.8","8","35","184","5/2/2018"
"CHEVROLET","SONIC RS","COMPACT","1.4","4","AS6","X","9.4","7","8.3","34","191","8/6/2018"
"CHEVROLET","SONIC RS","COMPACT","1.4","4","M6","X","8.9","6.9","8","35","184","9/26/2012"
"CHEVROLET","SONIC 5","MID-SIZE","1.4","4","AS6","X","9","6.8","8","35","184","4/28/2019"
"CHEVROLET","SONIC 5","MID-SIZE","1.4","4","M6","X","8.5","6.2","7.5","38","173","5/21/2011"
"CHEVROLET","SONIC 5","MID-SIZE","1.8","4","AS6","X","9.6","6.7","8.3","34","191","10/31/2016"
"CHEVROLET","SONIC 5","MID-SIZE","1.8","4","M5","X","9","6.8","8","35","184","11/3/2018"
"CHEVROLET","SONIC 5 RS","MID-SIZE","1.4","4","AS6","X","9.4","7","8.3","34","191","5/9/2019"
"CHEVROLET","SONIC 5 RS","MID-SIZE","1.4","4","M6","X","8.9","6.9","8","35","184","11/19/2017"
"CHEVROLET","SPARK","SUBCOMPACT","1.2","4","AV","X","7.7","6.1","7","40","161","6/13/2019"
"CHEVROLET","SPARK","SUBCOMPACT","1.2","4","M5","X","7.5","6","6.8","42","156","6/7/2017"
"CHEVROLET","SUBURBAN","SUV - STANDARD","5.3","8","A6","X","14.9","10.1","12.7","22","292","9/18/2018"
"CHEVROLET","SUBURBAN","SUV - STANDARD","5.3","8","A6","E","20.2","13.6","17.2","16","275","3/28/2020"
"CHEVROLET","SUBURBAN 4WD","SUV - STANDARD","5.3","8","A6","X","15.4","10.8","13.3","21","306","12/26/2014"
"CHEVROLET","SUBURBAN 4WD","SUV - STANDARD","5.3","8","A6","E","22.1","15.4","19.1","15","306","4/25/2012"
"CHEVROLET","TAHOE","SUV - STANDARD","5.3","8","A6","X","14.9","10.1","12.7","22","292","2/1/2012"
"CHEVROLET","TAHOE","SUV - STANDARD","5.3","8","A6","E","20.2","13.6","17.2","16","275","3/9/2013"
"CHEVROLET","TAHOE 4WD","SUV - STANDARD","5.3","8","A6","X","15.1","10.4","13","22","299","8/23/2014"
"CHEVROLET","TAHOE 4WD","SUV - STANDARD","5.3","8","A6","E","20.5","14","17.6","16","282","5/30/2020"
"CHEVROLET","TRAVERSE","SUV - STANDARD","3.6","6","A6","X","14.2","9.9","12.3","23","283","7/31/2016"
"CHEVROLET","TRAVERSE AWD","SUV - STANDARD","3.6","6","A6","X","14.6","10.2","12.6","22","290","9/3/2015"
"CHEVROLET","TRAX","SUV - SMALL","1.4","4","AS6","X","9.2","7","8.2","34","189","10/28/2012"
"CHEVROLET","TRAX","SUV - SMALL","1.4","4","M6","X","9.1","6.9","8.1","35","186","5/13/2014"
"CHEVROLET","TRAX AWD","SUV - SMALL","1.4","4","AS6","X","9.7","7.6","8.7","32","200","2/24/2013"
"CHRYSLER","200","MID-SIZE","2.4","4","A9","X","10.2","6.4","8.5","33","196","2/26/2012"
"CHRYSLER","200 FFV","MID-SIZE","2.4","4","A9","X","10.2","6.4","8.5","33","196","8/28/2020"
"CHRYSLER","200 FFV","MID-SIZE","2.4","4","A9","E","13.6","8.5","11.3","25","181","10/10/2014"
"CHRYSLER","200","MID-SIZE","3.6","6","A9","X","12.4","7.5","10.2","28","235","4/27/2011"
"CHRYSLER","200 FFV","MID-SIZE","3.6","6","A9","X","12.4","7.5","10.2","28","235","6/6/2015"
"CHRYSLER","200 FFV","MID-SIZE","3.6","6","A9","E","16.5","10.1","13.6","21","218","7/4/2013"
"CHRYSLER","200 AWD","MID-SIZE","3.6","6","A9","X","12.8","8.1","10.7","26","246","1/16/2021"
"CHRYSLER","200 AWD FFV","MID-SIZE","3.6","6","A9","X","12.8","8.1","10.7","26","246","7/7/2015"
"CHRYSLER","200 AWD FFV","MID-SIZE","3.6","6","A9","E","16.9","10.8","14.1","20","226","2/27/2017"
"CHRYSLER","300","FULL-SIZE","3.6","6","A8","X","12.4","7.7","10.3","27","237","2/1/2016"
"CHRYSLER","300 FFV","FULL-SIZE","3.6","6","A8","X","12.4","7.7","10.3","27","237","12/20/2015"
"CHRYSLER","300 FFV","FULL-SIZE","3.6","6","A8","E","16.8","10.3","13.9","20","222","5/8/2015"
"CHRYSLER","300 (MDS)","FULL-SIZE","5.7","8","A8","X","14.8","9.3","12.3","23","283","4/19/2014"
"CHRYSLER","300 AWD","FULL-SIZE","3.6","6","A8","X","12.8","8.6","10.9","26","251","2/11/2015"
"CHRYSLER","300 AWD FFV","FULL-SIZE","3.6","6","A8","X","12.8","8.6","10.9","26","251","2/7/2014"
"CHRYSLER","300 AWD FFV","FULL-SIZE","3.6","6","A8","E","17.3","11.7","14.8","19","237","9/6/2016"
"CHRYSLER","TOWN & COUNTRY FFV","MINIVAN","3.6","6","A6","X","14.1","9.5","12","24","276","4/29/2021"
"CHRYSLER","TOWN & COUNTRY FFV","MINIVAN","3.6","6","A6","E","19.7","13.3","16.8","17","269","3/14/2013"
"DODGE","CHALLENGER","MID-SIZE","3.6","6","A8","X","12.4","7.8","10.3","27","237","5/29/2020"
"DODGE","CHALLENGER","MID-SIZE","5.7","8","M6","X","15.6","10","13.1","22","301","12/16/2018"
"DODGE","CHALLENGER","MID-SIZE","6.4","8","M6","Z","16.8","10.4","13.9","20","320","2/3/2019"
"DODGE","CHALLENGER (MDS)","MID-SIZE","5.7","8","A8","X","14.8","9.3","12.3","23","283","7/22/2014"
"DODGE","CHALLENGER (MDS)","MID-SIZE","6.4","8","A8","Z","15.7","9.5","12.9","22","297","3/1/2014"
"DODGE","CHALLENGER SRT","MID-SIZE","6.4","8","M6","Z","16.8","10.4","13.9","20","320","2/21/2016"
"DODGE","CHALLENGER SRT (MDS)","MID-SIZE","6.4","8","A8","Z","15.7","9.5","12.9","22","297","5/20/2011"
"DODGE","CHALLENGER SRT HELLCAT","MID-SIZE","6.2","8","A8","Z","18","10.7","14.7","19","338","9/24/2019"
"DODGE","CHALLENGER SRT HELLCAT","MID-SIZE","6.2","8","M6","Z","18.1","11.4","15.1","19","347","10/22/2014"
"DODGE","CHARGER","FULL-SIZE","3.6","6","A5","X","13.7","8.9","11.5","25","264","10/5/2016"
"DODGE","CHARGER FFV","FULL-SIZE","3.6","6","A5","X","13.7","8.9","11.5","25","264","10/28/2017"
"DODGE","CHARGER FFV","FULL-SIZE","3.6","6","A5","E","18.7","12.4","15.9","18","254","3/18/2014"
"DODGE","CHARGER","FULL-SIZE","3.6","6","A8","X","12.4","7.7","10.3","27","237","1/9/2012"
"DODGE","CHARGER FFV","FULL-SIZE","3.6","6","A8","X","12.4","7.7","10.3","27","237","8/10/2011"
"DODGE","CHARGER FFV","FULL-SIZE","3.6","6","A8","E","16.8","10.3","13.9","20","222","11/1/2020"
"DODGE","CHARGER (MDS)","FULL-SIZE","5.7","8","A5","X","15.7","9.6","12.9","22","297","8/8/2014"
"DODGE","CHARGER (MDS)","FULL-SIZE","5.7","8","A8","X","14.8","9.3","12.3","23","283","6/12/2019"
"DODGE","CHARGER AWD","FULL-SIZE","3.6","6","A8","X","12.8","8.6","10.9","26","251","5/9/2012"
"DODGE","CHARGER AWD FFV","FULL-SIZE","3.6","6","A8","X","12.8","8.6","10.9","26","251","6/1/2015"
"DODGE","CHARGER AWD FFV","FULL-SIZE","3.6","6","A8","E","17.3","11.7","14.8","19","237","6/20/2016"
"DODGE","CHARGER AWD (MDS)","FULL-SIZE","5.7","8","A5","X","16.1","10","13.4","21","308","1/31/2018"
"DODGE","CHARGER SRT 392 HEMI","FULL-SIZE","6.4","8","A8","Z","15.7","9.5","12.9","22","297","6/2/2021"
"DODGE","CHARGER SRT HELLCAT","FULL-SIZE","6.2","8","A8","Z","18","10.7","14.7","19","338","10/18/2012"
"DODGE","DART","MID-SIZE","2","4","M6","X","9.4","6.5","8.1","35","186","9/7/2015"
"DODGE","DART FFV","MID-SIZE","2","4","A6","X","9.9","7","8.6","33","198","10/27/2020"
"DODGE","DART FFV","MID-SIZE","2","4","A6","E","13.3","9.3","11.5","25","184","8/15/2015"
"DODGE","DART","MID-SIZE","2.4","4","A6","X","10.1","6.8","8.6","33","198","12/27/2016"
"DODGE","DART","MID-SIZE","2.4","4","M6","X","10.5","6.7","8.8","32","202","5/3/2012"
"DODGE","DART GT","MID-SIZE","2.4","4","A6","X","10.6","7.5","9.2","31","212","2/27/2016"
"DODGE","DART GT","MID-SIZE","2.4","4","M6","X","10.2","7","8.8","32","202","9/15/2014"
"DODGE","DART TURBO AERO","MID-SIZE","1.4","4","AM6","X","8.4","5.9","7.3","39","168","5/21/2020"
"DODGE","DART TURBO AERO","MID-SIZE","1.4","4","M6","X","8.5","5.8","7.3","39","168","5/6/2014"
"DODGE","DURANGO AWD FFV","SUV - STANDARD","3.6","6","A8","X","13.9","9.8","12.1","23","278","11/5/2020"
"DODGE","DURANGO AWD FFV","SUV - STANDARD","3.6","6","A8","E","17.7","13","15.6","18","250","11/30/2019"
"DODGE","DURANGO AWD (MDS)","SUV - STANDARD","5.7","8","A8","X","17.3","11.5","14.7","19","338","11/8/2016"
"DODGE","GRAND CARAVAN FFV","MINIVAN","3.6","6","A6","X","13.7","9.4","11.8","24","271","6/18/2016"
"DODGE","GRAND CARAVAN FFV","MINIVAN","3.6","6","A6","E","19.2","13.1","16.4","17","262","7/5/2019"
"DODGE","JOURNEY","SUV - SMALL","2.4","4","A4","X","12.7","9.1","11.1","25","255","2/11/2011"
"DODGE","JOURNEY FFV","SUV - SMALL","3.6","6","A6","X","14.2","9.4","12.1","23","278","5/1/2016"
"DODGE","JOURNEY FFV","SUV - SMALL","3.6","6","A6","E","18.9","12.9","16.2","17","259","11/27/2019"
"DODGE","JOURNEY AWD","SUV - SMALL","3.6","6","A6","X","14.5","9.9","12.4","23","285","6/10/2018"
"DODGE","VIPER SRT COUPE","TWO-SEATER","8.4","10","M6","Z","19.4","11.3","15.8","18","363","5/8/2016"
"FIAT","500 CABRIO","MINICOMPACT","1.4","4","A6","X","8.7","6.9","7.9","36","182","11/30/2017"
"FIAT","500 CABRIO","MINICOMPACT","1.4","4","M5","X","7.9","6.3","7.2","39","166","8/25/2013"
"FIAT","500 HATCHBACK","MINICOMPACT","1.4","4","A6","X","8.7","6.9","7.9","36","182","9/15/2016"
"FIAT","500 HATCHBACK","MINICOMPACT","1.4","4","M5","X","7.6","5.9","6.8","42","156","8/28/2013"
"FIAT","500 HATCHBACK TURBO","MINICOMPACT","1.4","4","A6","X","9.6","7.3","8.6","33","198","6/5/2015"
"FIAT","500 HATCHBACK TURBO","MINICOMPACT","1.4","4","M5","X","8.5","6.9","7.8","36","179","10/15/2011"
"FIAT","500 ABARTH CABRIO","MINICOMPACT","1.4","4","A6","X","9.6","7.3","8.6","33","198","7/23/2017"
"FIAT","500 ABARTH CABRIO","MINICOMPACT","1.4","4","M5","X","8.5","6.9","7.8","36","179","12/31/2016"
"FIAT","500 ABARTH HATCHBACK","MINICOMPACT","1.4","4","A6","X","9.6","7.3","8.6","33","198","8/8/2019"
"FIAT","500 ABARTH HATCHBACK","MINICOMPACT","1.4","4","M5","X","8.5","6.9","7.8","36","179","6/16/2020"
"FIAT","500L","STATION WAGON - SMALL","1.4","4","A6","X","10.6","7.8","9.4","30","216","8/13/2018"
"FIAT","500L","STATION WAGON - SMALL","1.4","4","AM6","X","9.9","7.2","8.7","32","200","6/30/2016"
"FIAT","500L","STATION WAGON - SMALL","1.4","4","M6","X","9.3","7.1","8.3","34","191","8/16/2012"
"FORD","C-MAX HYBRID","FULL-SIZE","2","4","AV","X","5.6","6.4","6","47","138","11/5/2019"
"FORD","EDGE","SUV - SMALL","2","4","AS6","X","11.5","7.8","9.8","29","225","6/14/2017"
"FORD","EDGE (Start/Stop)","SUV - SMALL","2","4","AS6","X","11.3","7.9","9.8","29","225","9/29/2020"
"FORD","EDGE","SUV - SMALL","3.5","6","AS6","X","13.2","9","11.3","25","260","7/23/2019"
"FORD","EDGE AWD","SUV - SMALL","2","4","AS6","X","11.8","8.4","10.3","27","237","12/18/2015"
"FORD","EDGE AWD","SUV - SMALL","3.5","6","AS6","X","13.7","9.6","11.8","24","271","3/23/2017"
"FORD","EDGE SPORT AWD","SUV - SMALL","2.7","6","AS6","X","13.6","9.8","11.9","24","274","12/15/2013"
"FORD","ESCAPE","SUV - SMALL","1.6","4","AS6","X","10.4","7.4","9","31","207","2/11/2016"
"FORD","ESCAPE","SUV - SMALL","2","4","AS6","X","10.9","8","9.6","29","221","10/29/2015"
"FORD","ESCAPE","SUV - SMALL","2.5","4","AS6","X","10.9","7.6","9.5","30","218","11/26/2018"
"FORD","ESCAPE AWD","SUV - SMALL","1.6","4","AS6","X","10.6","8","9.4","30","216","8/6/2013"
"FORD","ESCAPE AWD","SUV - SMALL","2","4","AS6","X","11.4","8.4","10.1","28","232","5/14/2020"
"FORD","EXPEDITION 4X4","SUV - STANDARD","3.5","6","AS6","X","16.2","11.8","14.2","20","327","1/27/2018"
"FORD","EXPEDITION MAX 4X4","SUV - STANDARD","3.5","6","AS6","X","16.4","12","14.4","20","331","8/14/2018"
"FORD","EXPLORER","SUV - STANDARD","2","4","A6","X","11.9","8.5","10.4","27","239","1/16/2015"
"FORD","EXPLORER FFV","SUV - STANDARD","3.5","6","AS6","X","13.7","9.7","11.9","24","274","9/15/2015"
"FORD","EXPLORER FFV","SUV - STANDARD","3.5","6","AS6","E","18.6","13","16.1","18","258","4/21/2011"
"FORD","EXPLORER AWD (EcoBoost)","SUV - STANDARD","3.5","6","AS6","X","14.9","10.7","13","22","299","11/22/2011"
